2025-04-01 23:36:25,038 - __main__ - INFO - Loaded 368 prompts from prompts.csv
2025-04-01 23:36:25,038 - __main__ - INFO - Sequentially selected the first 100 prompts for inference
2025-04-01 23:36:25,039 - __main__ - INFO - Started background power monitoring process (PID: 207883)
2025-04-01 23:36:25,040 - __main__ - INFO - Started background GPU power monitoring, logging to benchmark_output/power_log_deepseek-ai-DeepSeek-R1-Distill-Llama-70B_04-01 23:36:25.csv
2025-04-01 23:36:25,074 - __main__ - INFO - PowerMonitor initialized. Test reading: 118.24
2025-04-01 23:36:25,075 - __main__ - INFO - Power monitoring thread started
2025-04-01 23:36:25,075 - __main__ - INFO - Power monitoring thread created and started
2025-04-01 23:36:25,075 - __main__ - INFO - Started GPU power monitoring
2025-04-01 23:36:25,075 - __main__ - INFO - Starting inference load generation with concurrency 1 across 10 processes
2025-04-01 23:36:25,075 - __main__ - INFO - Streaming mode detected - using synchronized approach to ensure complete responses
2025-04-01 23:36:25,075 - __main__ - WARNING - Using 10 processes with streaming may cause incomplete responses.
2025-04-01 23:36:25,075 - __main__ - WARNING - Consider using --processes=1 with streaming mode for more reliable results.
2025-04-01 23:36:25,075 - __main__ - INFO - Processing chunk 1/10 with 10 prompts
2025-04-01 23:36:25,076 - __main__ - INFO - Process 0: Starting batch with 10 prompts
2025-04-01 23:36:25,778 - __main__ - INFO - Power monitoring: collected 10 samples, latest: 409.29W
2025-04-01 23:36:26,440 - __main__ - INFO - Power monitoring: collected 20 samples, latest: 548.91W
2025-04-01 23:36:27,103 - __main__ - INFO - Power monitoring: collected 30 samples, latest: 550.92W
2025-04-01 23:36:27,763 - __main__ - INFO - Power monitoring: collected 40 samples, latest: 552.9W
2025-04-01 23:36:28,424 - __main__ - INFO - Power monitoring: collected 50 samples, latest: 551.59W
2025-04-01 23:36:29,086 - __main__ - INFO - Power monitoring: collected 60 samples, latest: 552.18W
2025-04-01 23:36:29,745 - __main__ - INFO - Power monitoring: collected 70 samples, latest: 552.3W
